stamp_sec,d_origin_m,det_box_m,det_horizon_m,odom_dt_sec,fy_px,horizon_row_px,bbox_x1,bbox_y1,bbox_x2,bbox_y2,cls,score
1756104610.435241,28.334007,25.000000,27.871622,0.045284,550.000,315,109,334,156,389,GuardBoat,0.867147
1756104610.490794,28.334007,22.177419,26.785714,0.010268,550.000,315,108,330,157,392,GuardBoat,0.822542
1756104610.535600,28.503918,23.706897,27.500000,0.044949,550.000,315,110,332,156,390,GuardBoat,0.831503
1756104610.645787,28.663897,21.484375,25.781250,0.034786,550.000,315,111,331,158,395,GuardBoat,0.792631
1756104610.699450,28.663897,21.484375,25.462963,0.018878,550.000,315,111,332,158,396,GuardBoat,0.851660
1756104610.747309,28.833808,22.177419,26.107595,0.033287,550.000,315,110,332,157,394,GuardBoat,0.865012
1756104610.822677,28.833808,22.540984,26.785714,0.042082,550.000,315,111,331,157,392,GuardBoat,0.864248
1756104610.859779,29.003719,22.177419,26.442308,0.020840,550.000,315,111,331,157,393,GuardBoat,0.861431
1756104610.914072,29.003719,23.305085,27.138158,0.033453,550.000,315,112,332,157,391,GuardBoat,0.862389
1756104611.010046,29.170879,22.916667,27.138158,0.029404,550.000,315,111,331,157,391,GuardBoat,0.868412
1756104611.048652,29.340790,22.177419,26.442308,0.032014,550.000,315,112,331,157,393,GuardBoat,0.834732
1756104611.124345,29.340790,22.916667,27.138158,0.043679,550.000,315,113,331,157,391,GuardBoat,0.846505
1756104611.175951,29.507952,23.305085,27.500000,0.003738,550.000,315,113,331,157,390,GuardBoat,0.834029
1756104611.230135,29.677862,23.706897,28.253425,0.049578,550.000,315,113,330,156,388,GuardBoat,0.869209
1756104611.276452,29.677862,24.122807,28.253425,0.003262,550.000,315,113,331,156,388,GuardBoat,0.869892
1756104611.326702,29.677862,25.462963,29.464286,0.046989,550.000,315,114,331,156,385,GuardBoat,0.870857
1756104611.374979,29.845026,24.553571,28.645833,0.004757,550.000,315,114,331,157,387,GuardBoat,0.857990
1756104611.428498,29.845026,22.177419,26.785714,0.048762,550.000,315,114,330,159,392,GuardBoat,0.835580
1756104611.477326,30.014935,24.553571,28.645833,0.002434,550.000,315,114,331,158,387,GuardBoat,0.855715
1756104611.587519,30.184845,26.442308,29.891304,0.007735,550.000,315,114,332,156,384,GuardBoat,0.869995
1756104611.637172,30.184845,25.000000,28.645833,0.057389,550.000,315,115,332,157,387,GuardBoat,0.866452
1756104611.689115,30.344823,25.000000,29.049296,0.009308,550.000,315,115,331,157,386,GuardBoat,0.866156
1756104611.765163,30.511987,23.706897,27.871622,0.014668,550.000,315,115,331,158,389,GuardBoat,0.843213
1756104611.804810,30.511987,25.000000,28.645833,0.024979,550.000,315,115,332,156,387,GuardBoat,0.852857
1756104611.854192,30.691829,24.122807,27.871622,0.025661,550.000,315,115,332,157,389,GuardBoat,0.861639
1756104611.896288,30.691829,25.462963,29.049296,0.016435,550.000,315,115,332,157,386,GuardBoat,0.856325
1756104611.997405,30.861739,25.943396,29.464286,0.017528,550.000,315,115,332,157,385,GuardBoat,0.860424
1756104612.057586,31.041582,25.462963,29.464286,0.021315,550.000,315,116,331,157,385,GuardBoat,0.867114
1756104612.109390,31.041582,28.645833,31.250000,0.030489,550.000,315,116,333,157,381,GuardBoat,0.865638
1756104612.170922,31.211492,26.960784,30.783582,0.008003,550.000,315,116,331,156,382,GuardBoat,0.883269
1756104612.217266,31.211492,26.960784,30.330882,0.038342,550.000,315,116,332,157,383,GuardBoat,0.875476
1756104612.270644,31.211492,26.960784,30.330882,0.091719,550.000,315,116,332,157,383,GuardBoat,0.880925
1756104612.312603,31.381403,26.442308,30.330882,0.033655,550.000,315,116,331,157,383,GuardBoat,0.880809
1756104612.388506,31.558500,25.943396,29.891304,0.009535,550.000,315,117,331,157,384,GuardBoat,0.867238
1756104612.428267,31.558500,26.442308,30.330882,0.049295,550.000,315,116,331,158,383,GuardBoat,0.863459
1756104612.493538,31.738343,26.442308,30.330882,0.014543,550.000,315,116,331,158,383,GuardBoat,0.861262
1756104612.629749,32.088096,27.500000,31.250000,0.049292,550.000,315,117,331,157,381,GuardBoat,0.883045
1756104612.695131,32.088096,29.255319,32.226562,0.016090,550.000,315,118,332,156,379,GuardBoat,0.889262
1756104612.734714,32.265196,28.645833,32.226562,0.044351,550.000,315,118,331,157,379,GuardBoat,0.889051
1756104612.792385,32.265196,28.061224,31.730769,0.013320,550.000,315,118,331,157,380,GuardBoat,0.887304
1756104612.838054,32.435105,28.061224,31.730769,0.040034,550.000,315,118,331,157,380,GuardBoat,0.882455
1756104612.903356,32.435105,29.255319,32.738095,0.025267,550.000,315,118,331,157,378,GuardBoat,0.890662
1756104612.947139,32.614948,29.255319,32.738095,0.030973,550.000,315,118,331,157,378,GuardBoat,0.889225
1756104612.996601,32.614948,29.255319,32.738095,0.018488,550.000,315,118,331,157,378,GuardBoat,0.888569
1756104613.049623,32.814659,29.255319,32.738095,0.038512,550.000,315,118,331,158,378,GuardBoat,0.883931
1756104613.117018,32.814659,29.255319,32.738095,0.028883,550.000,315,118,331,158,378,GuardBoat,0.887738
